Row Labels,Sum of Id,Sum of MSSubClass,Sum of OverallQual,Sum of 1stFlrSF,Sum of FullBath,Sum of SalePrice,Sum of MoSold
268,1292,160,5,630,2,119500,2
ALQ,1292,160,5,630,2,119500,2
TA,1292,160,5,630,2,119500,2
TA,1292,160,5,630,2,119500,2
TA,1292,160,5,630,2,119500,2
Typ,1292,160,5,630,2,119500,2
NA,1292,160,5,630,2,119500,2
Detchd,1292,160,5,630,2,119500,2
TA,1292,160,5,630,2,119500,2
WD,1292,160,5,630,2,119500,2
Normal,1292,160,5,630,2,119500,2
HdBoard,6122,1760,65,5880,12,1107400,70
TA,6122,1760,65,5880,12,1107400,70
127,228,160,6,483,1,106000,9
Rec,228,160,6,483,1,106000,9
TA,228,160,6,483,1,106000,9
TA,228,160,6,483,1,106000,9
TA,228,160,6,483,1,106000,9
Typ,228,160,6,483,1,106000,9
NA,228,160,6,483,1,106000,9
Detchd,228,160,6,483,1,106000,9
TA,228,160,6,483,1,106000,9
WD,228,160,6,483,1,106000,9
Normal,228,160,6,483,1,106000,9
142,226,160,5,630,2,112000,5
Unf,226,160,5,630,2,112000,5
TA,226,160,5,630,2,112000,5
TA,226,160,5,630,2,112000,5
TA,226,160,5,630,2,112000,5
Typ,226,160,5,630,2,112000,5
NA,226,160,5,630,2,112000,5
Detchd,226,160,5,630,2,112000,5
TA,226,160,5,630,2,112000,5
COD,226,160,5,630,2,112000,5
Abnorml,226,160,5,630,2,112000,5
158,838,160,6,483,1,100000,11
BLQ,838,160,6,483,1,100000,11
TA,838,160,6,483,1,100000,11
TA,838,160,6,483,1,100000,11
TA,838,160,6,483,1,100000,11
Typ,838,160,6,483,1,100000,11
NA,838,160,6,483,1,100000,11
Detchd,838,160,6,483,1,100000,11
TA,838,160,6,483,1,100000,11
WD,838,160,6,483,1,100000,11
Normal,838,160,6,483,1,100000,11
232,431,160,6,483,1,85400,7
ALQ,431,160,6,483,1,85400,7
TA,431,160,6,483,1,85400,7
TA,431,160,6,483,1,85400,7
TA,431,160,6,483,1,85400,7
Typ,431,160,6,483,1,85400,7
NA,431,160,6,483,1,85400,7
Detchd,431,160,6,483,1,85400,7
TA,431,160,6,483,1,85400,7
COD,431,160,6,483,1,85400,7
Abnorml,431,160,6,483,1,85400,7
281,1030,160,6,672,1,118000,5
BLQ,1030,160,6,672,1,118000,5
TA,1030,160,6,672,1,118000,5
TA,1030,160,6,672,1,118000,5
Gd,1030,160,6,672,1,118000,5
Typ,1030,160,6,672,1,118000,5
NA,1030,160,6,672,1,118000,5
Detchd,1030,160,6,672,1,118000,5
TA,1030,160,6,672,1,118000,5
WD,1030,160,6,672,1,118000,5
Normal,1030,160,6,672,1,118000,5
285,501,160,6,672,1,113000,5
BLQ,501,160,6,672,1,113000,5
TA,501,160,6,672,1,113000,5
TA,501,160,6,672,1,113000,5
TA,501,160,6,672,1,113000,5
Typ,501,160,6,672,1,113000,5
NA,501,160,6,672,1,113000,5
Detchd,501,160,6,672,1,113000,5
TA,501,160,6,672,1,113000,5
WD,501,160,6,672,1,113000,5
Normal,501,160,6,672,1,113000,5
297,233,160,6,483,1,94500,6
Unf,233,160,6,483,1,94500,6
TA,233,160,6,483,1,94500,6
TA,233,160,6,483,1,94500,6
TA,233,160,6,483,1,94500,6
Typ,233,160,6,483,1,94500,6
Po,233,160,6,483,1,94500,6
Attchd,233,160,6,483,1,94500,6
TA,233,160,6,483,1,94500,6
WD,233,160,6,483,1,94500,6
Normal,233,160,6,483,1,94500,6
381,656,160,6,525,1,88000,3
Unf,656,160,6,525,1,88000,3
TA,656,160,6,525,1,88000,3
TA,656,160,6,525,1,88000,3
TA,656,160,6,525,1,88000,3
Typ,656,160,6,525,1,88000,3
NA,656,160,6,525,1,88000,3
Detchd,656,160,6,525,1,88000,3
TA,656,160,6,525,1,88000,3
WD,656,160,6,525,1,88000,3
Family,656,160,6,525,1,88000,3
408,1379,160,6,483,1,83000,6
BLQ,1379,160,6,483,1,83000,6
Fa,1379,160,6,483,1,83000,6
TA,1379,160,6,483,1,83000,6
TA,1379,160,6,483,1,83000,6
Typ,1379,160,6,483,1,83000,6
NA,1379,160,6,483,1,83000,6
Detchd,1379,160,6,483,1,83000,6
TA,1379,160,6,483,1,83000,6
WD,1379,160,6,483,1,83000,6
Normal,1379,160,6,483,1,83000,6
510,364,160,6,483,1,118000,5
ALQ,364,160,6,483,1,118000,5
TA,364,160,6,483,1,118000,5
TA,364,160,6,483,1,118000,5
Gd,364,160,6,483,1,118000,5
Typ,364,160,6,483,1,118000,5
NA,364,160,6,483,1,118000,5
Detchd,364,160,6,483,1,118000,5
TA,364,160,6,483,1,118000,5
WD,364,160,6,483,1,118000,5
Normal,364,160,6,483,1,118000,5
604,236,160,6,483,1,89500,8
ALQ,236,160,6,483,1,89500,8
TA,236,160,6,483,1,89500,8
TA,236,160,6,483,1,89500,8
TA,236,160,6,483,1,89500,8
Typ,236,160,6,483,1,89500,8
NA,236,160,6,483,1,89500,8
Detchd,236,160,6,483,1,89500,8
TA,236,160,6,483,1,89500,8
WD,236,160,6,483,1,89500,8
Normal,236,160,6,483,1,89500,8
24,14250,3040,121,14915,35,2759300,115
FV,4890,960,44,4344,12,988300,42
FR2,960,160,7,696,2,155000,5
AllPub,960,160,7,696,2,155000,5
Reg,960,160,7,696,2,155000,5
MetalSd,960,160,7,696,2,155000,5
TA,960,160,7,696,2,155000,5
0,960,160,7,696,2,155000,5
ALQ,960,160,7,696,2,155000,5
TA,960,160,7,696,2,155000,5
Gd,960,160,7,696,2,155000,5
Ex,960,160,7,696,2,155000,5
Typ,960,160,7,696,2,155000,5
NA,960,160,7,696,2,155000,5
Detchd,960,160,7,696,2,155000,5
TA,960,160,7,696,2,155000,5
WD,960,160,7,696,2,155000,5
Normal,960,160,7,696,2,155000,5
Inside,3930,800,37,3648,10,833300,37
AllPub,3930,800,37,3648,10,833300,37
Reg,3930,800,37,3648,10,833300,37
MetalSd,3930,800,37,3648,10,833300,37
TA,3930,800,37,3648,10,833300,37
0,830,160,7,520,2,147400,7
Unf,830,160,7,520,2,147400,7
TA,830,160,7,520,2,147400,7
Gd,830,160,7,520,2,147400,7
Ex,830,160,7,520,2,147400,7
Typ,830,160,7,520,2,147400,7
NA,830,160,7,520,2,147400,7
Detchd,830,160,7,520,2,147400,7
TA,830,160,7,520,2,147400,7
WD,830,160,7,520,2,147400,7
Normal,830,160,7,520,2,147400,7
212,1092,160,7,624,2,160000,3
BLQ,1092,160,7,624,2,160000,3
TA,1092,160,7,624,2,160000,3
Gd,1092,160,7,624,2,160000,3
Ex,1092,160,7,624,2,160000,3
Typ,1092,160,7,624,2,160000,3
NA,1092,160,7,624,2,160000,3
Detchd,1092,160,7,624,2,160000,3
TA,1092,160,7,624,2,160000,3
WD,1092,160,7,624,2,160000,3
Normal,1092,160,7,624,2,160000,3
360,759,160,7,757,2,179400,8
ALQ,759,160,7,757,2,179400,8
TA,759,160,7,757,2,179400,8
Gd,759,160,7,757,2,179400,8
Gd,759,160,7,757,2,179400,8
Typ,759,160,7,757,2,179400,8
NA,759,160,7,757,2,179400,8
Detchd,759,160,7,757,2,179400,8
TA,759,160,7,757,2,179400,8
WD,759,160,7,757,2,179400,8
Normal,759,160,7,757,2,179400,8
456,1249,320,16,1747,4,346500,19
GLQ,57,160,8,983,2,172500,8
TA,57,160,8,983,2,172500,8
Gd,57,160,8,983,2,172500,8
Ex,57,160,8,983,2,172500,8
Typ,57,160,8,983,2,172500,8
NA,57,160,8,983,2,172500,8
Attchd,57,160,8,983,2,172500,8
TA,57,160,8,983,2,172500,8
WD,57,160,8,983,2,172500,8
Abnorml,57,160,8,983,2,172500,8
Unf,1192,160,8,764,2,174000,11
TA,1192,160,8,764,2,174000,11
Gd,1192,160,8,764,2,174000,11
Ex,1192,160,8,764,2,174000,11
Typ,1192,160,8,764,2,174000,11
NA,1192,160,8,764,2,174000,11
Detchd,1192,160,8,764,2,174000,11
TA,1192,160,8,764,2,174000,11
WD,1192,160,8,764,2,174000,11
Normal,1192,160,8,764,2,174000,11
RL,3501,800,30,4224,10,745000,31
Corner,963,160,6,804,2,155000,7
AllPub,963,160,6,804,2,155000,7
Reg,963,160,6,804,2,155000,7
Plywood,963,160,6,804,2,155000,7
TA,963,160,6,804,2,155000,7
0,963,160,6,804,2,155000,7
ALQ,963,160,6,804,2,155000,7
TA,963,160,6,804,2,155000,7
Gd,963,160,6,804,2,155000,7
TA,963,160,6,804,2,155000,7
Typ,963,160,6,804,2,155000,7
TA,963,160,6,804,2,155000,7
Detchd,963,160,6,804,2,155000,7
TA,963,160,6,804,2,155000,7
WD,963,160,6,804,2,155000,7
Normal,963,160,6,804,2,155000,7
FR2,196,160,6,855,2,148500,7
AllPub,196,160,6,855,2,148500,7
Reg,196,160,6,855,2,148500,7
Plywood,196,160,6,855,2,148500,7
TA,196,160,6,855,2,148500,7
0,196,160,6,855,2,148500,7
ALQ,196,160,6,855,2,148500,7
TA,196,160,6,855,2,148500,7
Gd,196,160,6,855,2,148500,7
TA,196,160,6,855,2,148500,7
Typ,196,160,6,855,2,148500,7
TA,196,160,6,855,2,148500,7
Attchd,196,160,6,855,2,148500,7
TA,196,160,6,855,2,148500,7
WD,196,160,6,855,2,148500,7
Normal,196,160,6,855,2,148500,7
Inside,2342,480,18,2565,6,441500,17
AllPub,2342,480,18,2565,6,441500,17
Reg,2342,480,18,2565,6,441500,17
Plywood,2342,480,18,2565,6,441500,17
TA,2342,480,18,2565,6,441500,17
0,2342,480,18,2565,6,441500,17
ALQ,2342,480,18,2565,6,441500,17
TA,2342,480,18,2565,6,441500,17
Gd,1161,160,6,855,2,146000,7
Fa,1161,160,6,855,2,146000,7
Typ,1161,160,6,855,2,146000,7
TA,1161,160,6,855,2,146000,7
Attchd,1161,160,6,855,2,146000,7
TA,1161,160,6,855,2,146000,7
WD,1161,160,6,855,2,146000,7
Normal,1161,160,6,855,2,146000,7
TA,1181,320,12,1710,4,295500,10
TA,1181,320,12,1710,4,295500,10
Typ,1181,320,12,1710,4,295500,10
Fa,505,160,6,855,2,147000,6
Attchd,505,160,6,855,2,147000,6
TA,505,160,6,855,2,147000,6
WD,505,160,6,855,2,147000,6
Normal,505,160,6,855,2,147000,6
TA,676,160,6,855,2,148500,4
Attchd,676,160,6,855,2,148500,4
TA,676,160,6,855,2,148500,4
WD,676,160,6,855,2,148500,4
Normal,676,160,6,855,2,148500,4
RM,5859,1280,47,6347,13,1026000,42
Inside,5859,1280,47,6347,13,1026000,42
AllPub,5859,1280,47,6347,13,1026000,42
Reg,5859,1280,47,6347,13,1026000,42
HdBoard,2873,480,15,2160,4,353500,17
TA,2873,480,15,2160,4,353500,17
304,1105,160,5,630,2,106000,4
Unf,1105,160,5,630,2,106000,4
TA,1105,160,5,630,2,106000,4
TA,1105,160,5,630,2,106000,4
TA,1105,160,5,630,2,106000,4
Typ,1105,160,5,630,2,106000,4
NA,1105,160,5,630,2,106000,4
Detchd,1105,160,5,630,2,106000,4
TA,1105,160,5,630,2,106000,4
WD,1105,160,5,630,2,106000,4
Normal,1105,160,5,630,2,106000,4
312,1335,160,5,765,1,125000,5
LwQ,1335,160,5,765,1,125000,5
TA,1335,160,5,765,1,125000,5
TA,1335,160,5,765,1,125000,5
TA,1335,160,5,765,1,125000,5
Min1,1335,160,5,765,1,125000,5
NA,1335,160,5,765,1,125000,5
Attchd,1335,160,5,765,1,125000,5
TA,1335,160,5,765,1,125000,5
WD,1335,160,5,765,1,125000,5
Normal,1335,160,5,765,1,125000,5
376,433,160,5,765,1,122500,8
ALQ,433,160,5,765,1,122500,8
TA,433,160,5,765,1,122500,8
TA,433,160,5,765,1,122500,8
Ex,433,160,5,765,1,122500,8
Min1,433,160,5,765,1,122500,8
NA,433,160,5,765,1,122500,8
Detchd,433,160,5,765,1,122500,8
TA,433,160,5,765,1,122500,8
WD,433,160,5,765,1,122500,8
Normal,433,160,5,765,1,122500,8
MetalSd,1557,320,12,1277,3,275000,12
Gd,600,160,6,716,2,151000,7
0,600,160,6,716,2,151000,7
LwQ,600,160,6,716,2,151000,7
TA,600,160,6,716,2,151000,7
Gd,600,160,6,716,2,151000,7
TA,600,160,6,716,2,151000,7
Typ,600,160,6,716,2,151000,7
TA,600,160,6,716,2,151000,7
Attchd,600,160,6,716,2,151000,7
TA,600,160,6,716,2,151000,7
COD,600,160,6,716,2,151000,7
Normal,600,160,6,716,2,151000,7
TA,957,160,6,561,1,124000,5
0,957,160,6,561,1,124000,5
ALQ,957,160,6,561,1,124000,5
TA,957,160,6,561,1,124000,5
Gd,957,160,6,561,1,124000,5
TA,957,160,6,561,1,124000,5
Typ,957,160,6,561,1,124000,5
TA,957,160,6,561,1,124000,5
Attchd,957,160,6,561,1,124000,5
TA,957,160,6,561,1,124000,5
WD,957,160,6,561,1,124000,5
Normal,957,160,6,561,1,124000,5
VinylSd,1429,480,20,2910,6,397500,13
TA,1429,480,20,2910,6,397500,13
50,1429,480,20,2910,6,397500,13
Unf,1429,480,20,2910,6,397500,13
TA,1429,480,20,2910,6,397500,13
Gd,1429,480,20,2910,6,397500,13
Ex,1429,480,20,2910,6,397500,13
Maj1,1429,480,20,2910,6,397500,13
NA,1429,480,20,2910,6,397500,13
Detchd,1429,480,20,2910,6,397500,13
TA,1429,480,20,2910,6,397500,13
WD,1429,480,20,2910,6,397500,13
Normal,1429,480,20,2910,6,397500,13
30,4746,790,40,4510,10,962885,32
FV,3716,640,27,2252,8,619885,22
Inside,3716,640,27,2252,8,619885,22
AllPub,3716,640,27,2252,8,619885,22
Reg,3716,640,27,2252,8,619885,22
MetalSd,2801,480,21,1640,6,446152,16
TA,2801,480,21,1640,6,446152,16
0,2801,480,21,1640,6,446152,16
Unf,2801,480,21,1640,6,446152,16
TA,2801,480,21,1640,6,446152,16
Gd,2801,480,21,1640,6,446152,16
Ex,2801,480,21,1640,6,446152,16
Typ,2801,480,21,1640,6,446152,16
NA,2801,480,21,1640,6,446152,16
Detchd,2801,480,21,1640,6,446152,16
TA,2801,480,21,1640,6,446152,16
WD,2801,480,21,1640,6,446152,16
Abnorml,1365,160,7,520,2,144152,4
Normal,1436,320,14,1120,4,302000,12
VinylSd,915,160,6,612,2,173733,6
TA,915,160,6,612,2,173733,6
76,915,160,6,612,2,173733,6
GLQ,915,160,6,612,2,173733,6
TA,915,160,6,612,2,173733,6
Gd,915,160,6,612,2,173733,6
Ex,915,160,6,612,2,173733,6
Typ,915,160,6,612,2,173733,6
NA,915,160,6,612,2,173733,6
Detchd,915,160,6,612,2,173733,6
TA,915,160,6,612,2,173733,6
New,915,160,6,612,2,173733,6
Partial,915,160,6,612,2,173733,6
RL,765,120,8,1494,1,270000,4
CulDSac,765,120,8,1494,1,270000,4
AllPub,765,120,8,1494,1,270000,4
IR1,765,120,8,1494,1,270000,4
BrkFace,765,120,8,1494,1,270000,4
Gd,765,120,8,1494,1,270000,4
0,765,120,8,1494,1,270000,4
LwQ,765,120,8,1494,1,270000,4
Gd,765,120,8,1494,1,270000,4
Gd,765,120,8,1494,1,270000,4
Ex,765,120,8,1494,1,270000,4
Typ,765,120,8,1494,1,270000,4
Gd,765,120,8,1494,1,270000,4
Attchd,765,120,8,1494,1,270000,4
TA,765,120,8,1494,1,270000,4
WD,765,120,8,1494,1,270000,4
Normal,765,120,8,1494,1,270000,4
RM,265,30,5,764,1,73000,6
Inside,265,30,5,764,1,73000,6
AllPub,265,30,5,764,1,73000,6
IR3,265,30,5,764,1,73000,6
Wd Sdng,265,30,5,764,1,73000,6
TA,265,30,5,764,1,73000,6
0,265,30,5,764,1,73000,6
Unf,265,30,5,764,1,73000,6
TA,265,30,5,764,1,73000,6
Fa,265,30,5,764,1,73000,6
Gd,265,30,5,764,1,73000,6
Typ,265,30,5,764,1,73000,6
NA,265,30,5,764,1,73000,6
Detchd,265,30,5,764,1,73000,6
TA,265,30,5,764,1,73000,6
WD,265,30,5,764,1,73000,6
Normal,265,30,5,764,1,73000,6
32,2974,640,33,6452,9,933500,23
RL,327,120,8,1719,1,324000,5
CulDSac,327,120,8,1719,1,324000,5
AllPub,327,120,8,1719,1,324000,5
IR1,327,120,8,1719,1,324000,5
BrkFace,327,120,8,1719,1,324000,5
TA,327,120,8,1719,1,324000,5
0,327,120,8,1719,1,324000,5
GLQ,327,120,8,1719,1,324000,5
TA,327,120,8,1719,1,324000,5
Gd,327,120,8,1719,1,324000,5
Ex,327,120,8,1719,1,324000,5
Typ,327,120,8,1719,1,324000,5
Gd,327,120,8,1719,1,324000,5
Attchd,327,120,8,1719,1,324000,5
TA,327,120,8,1719,1,324000,5
Con,327,120,8,1719,1,324000,5
Normal,327,120,8,1719,1,324000,5
RM,2647,520,25,4733,8,609500,18
FR2,1342,360,18,3757,6,479500,14
AllPub,1342,360,18,3757,6,479500,14
Reg,1342,360,18,3757,6,479500,14
VinylSd,1342,360,18,3757,6,479500,14
Gd,82,120,6,1337,2,153500,3
443,82,120,6,1337,2,153500,3
GLQ,82,120,6,1337,2,153500,3
Gd,82,120,6,1337,2,153500,3
Ex,82,120,6,1337,2,153500,3
Ex,82,120,6,1337,2,153500,3
Typ,82,120,6,1337,2,153500,3
NA,82,120,6,1337,2,153500,3
Attchd,82,120,6,1337,2,153500,3
TA,82,120,6,1337,2,153500,3
WD,82,120,6,1337,2,153500,3
Normal,82,120,6,1337,2,153500,3
TA,1260,240,12,2420,4,326000,11
116,484,120,6,1216,2,164000,5
GLQ,484,120,6,1216,2,164000,5
TA,484,120,6,1216,2,164000,5
Ex,484,120,6,1216,2,164000,5
Ex,484,120,6,1216,2,164000,5
Typ,484,120,6,1216,2,164000,5
NA,484,120,6,1216,2,164000,5
Attchd,484,120,6,1216,2,164000,5
TA,484,120,6,1216,2,164000,5
WD,484,120,6,1216,2,164000,5
Normal,484,120,6,1216,2,164000,5
320,776,120,6,1204,2,162000,6
GLQ,776,120,6,1204,2,162000,6
TA,776,120,6,1204,2,162000,6
Ex,776,120,6,1204,2,162000,6
Ex,776,120,6,1204,2,162000,6
Typ,776,120,6,1204,2,162000,6
NA,776,120,6,1204,2,162000,6
Attchd,776,120,6,1204,2,162000,6
TA,776,120,6,1204,2,162000,6
WD,776,120,6,1204,2,162000,6
Normal,776,120,6,1204,2,162000,6
Inside,1305,160,7,976,2,130000,4
AllPub,1305,160,7,976,2,130000,4
Reg,1305,160,7,976,2,130000,4
VinylSd,1305,160,7,976,2,130000,4
TA,1305,160,7,976,2,130000,4
117,1305,160,7,976,2,130000,4
Unf,1305,160,7,976,2,130000,4
TA,1305,160,7,976,2,130000,4
Gd,1305,160,7,976,2,130000,4
Ex,1305,160,7,976,2,130000,4
Maj1,1305,160,7,976,2,130000,4
NA,1305,160,7,976,2,130000,4
Detchd,1305,160,7,976,2,130000,4
TA,1305,160,7,976,2,130000,4
WD,1305,160,7,976,2,130000,4
Normal,1305,160,7,976,2,130000,4
33,49,190,4,736,2,113000,6
RM,49,190,4,736,2,113000,6
Inside,49,190,4,736,2,113000,6
AllPub,49,190,4,736,2,113000,6
Reg,49,190,4,736,2,113000,6
MetalSd,49,190,4,736,2,113000,6
TA,49,190,4,736,2,113000,6
0,49,190,4,736,2,113000,6
Unf,49,190,4,736,2,113000,6
TA,49,190,4,736,2,113000,6
TA,49,190,4,736,2,113000,6
Gd,49,190,4,736,2,113000,6
Typ,49,190,4,736,2,113000,6
NA,49,190,4,736,2,113000,6
NA,49,190,4,736,2,113000,6
NA,49,190,4,736,2,113000,6
New,49,190,4,736,2,113000,6
Partial,49,190,4,736,2,113000,6
34,6833,1270,65,10390,18,1749500,57
FV,1451,480,19,2174,6,494500,11
Corner,695,320,13,1432,4,322000,8
AllPub,695,320,13,1432,4,322000,8
Reg,695,320,13,1432,4,322000,8
MetalSd,116,160,6,729,2,176000,6
TA,116,160,6,729,2,176000,6
1129,116,160,6,729,2,176000,6
GLQ,116,160,6,729,2,176000,6
TA,116,160,6,729,2,176000,6
Gd,116,160,6,729,2,176000,6
Gd,116,160,6,729,2,176000,6
Typ,116,160,6,729,2,176000,6
Fa,116,160,6,729,2,176000,6
Detchd,116,160,6,729,2,176000,6
TA,116,160,6,729,2,176000,6
WD,116,160,6,729,2,176000,6
Normal,116,160,6,729,2,176000,6
VinylSd,579,160,7,703,2,146000,2
TA,579,160,7,703,2,146000,2
0,579,160,7,703,2,146000,2
Unf,579,160,7,703,2,146000,2
TA,579,160,7,703,2,146000,2
Gd,579,160,7,703,2,146000,2
Ex,579,160,7,703,2,146000,2
Typ,579,160,7,703,2,146000,2
NA,579,160,7,703,2,146000,2
Detchd,579,160,7,703,2,146000,2
TA,579,160,7,703,2,146000,2
WD,579,160,7,703,2,146000,2
Abnorml,579,160,7,703,2,146000,2
Inside,756,160,6,742,2,172500,3
AllPub,756,160,6,742,2,172500,3
Reg,756,160,6,742,2,172500,3
MetalSd,756,160,6,742,2,172500,3
TA,756,160,6,742,2,172500,3
894,756,160,6,742,2,172500,3
GLQ,756,160,6,742,2,172500,3
TA,756,160,6,742,2,172500,3
Gd,756,160,6,742,2,172500,3
Gd,756,160,6,742,2,172500,3
Typ,756,160,6,742,2,172500,3
NA,756,160,6,742,2,172500,3
Detchd,756,160,6,742,2,172500,3
TA,756,160,6,742,2,172500,3
WD,756,160,6,742,2,172500,3
Normal,756,160,6,742,2,172500,3
RH,1809,240,13,2104,3,314000,14
Inside,1809,240,13,2104,3,314000,14
AllPub,1809,240,13,2104,3,314000,14
Reg,1809,240,13,2104,3,314000,14
MetalSd,1809,240,13,2104,3,314000,14
TA,1809,240,13,2104,3,314000,14
0,1265,120,6,1337,2,181000,8
GLQ,1265,120,6,1337,2,181000,8
TA,1265,120,6,1337,2,181000,8
Gd,1265,120,6,1337,2,181000,8
Ex,1265,120,6,1337,2,181000,8
Typ,1265,120,6,1337,2,181000,8
NA,1265,120,6,1337,2,181000,8
Attchd,1265,120,6,1337,2,181000,8
TA,1265,120,6,1337,2,181000,8
COD,1265,120,6,1337,2,181000,8
Abnorml,1265,120,6,1337,2,181000,8
182,544,120,7,767,1,133000,6
GLQ,544,120,7,767,1,133000,6
TA,544,120,7,767,1,133000,6
Gd,544,120,7,767,1,133000,6
Ex,544,120,7,767,1,133000,6
Typ,544,120,7,767,1,133000,6
NA,544,120,7,767,1,133000,6
Attchd,544,120,7,767,1,133000,6
TA,544,120,7,767,1,133000,6
WD,544,120,7,767,1,133000,6
Normal,544,120,7,767,1,133000,6
RL,3116,480,28,5488,8,843000,27
Inside,3116,480,28,5488,8,843000,27
AllPub,3116,480,28,5488,8,843000,27
IR1,2201,240,13,2620,4,426000,15
VinylSd,2201,240,13,2620,4,426000,15
TA,2201,240,13,2620,4,426000,15
135,1043,120,6,1306,2,196000,8
ALQ,1043,120,6,1306,2,196000,8
TA,1043,120,6,1306,2,196000,8
Gd,1043,120,6,1306,2,196000,8
Ex,1043,120,6,1306,2,196000,8
Typ,1043,120,6,1306,2,196000,8
Gd,1043,120,6,1306,2,196000,8
Attchd,1043,120,6,1306,2,196000,8
TA,1043,120,6,1306,2,196000,8
WD,1043,120,6,1306,2,196000,8
Normal,1043,120,6,1306,2,196000,8
166,1158,120,7,1314,2,230000,7
GLQ,1158,120,7,1314,2,230000,7
TA,1158,120,7,1314,2,230000,7
Gd,1158,120,7,1314,2,230000,7
